linguagem,algoritmo,modo,tamanho,tempo
python,mergesort,1,10,0.000039499900
python,mergesort,1,100,0.000195473100
python,mergesort,1,1000,0.002563338500
python,mergesort,1,10000,0.027064509600
python,mergesort,1,100000,0.322225939000
python,mergesort,2,10,0.000024350500
python,mergesort,2,100,0.000181170500
python,mergesort,2,1000,0.002489801300
python,mergesort,2,10000,0.027540683600
python,mergesort,2,100000,0.323899748900
python,selectionsort,1,10,0.000006626100
python,selectionsort,1,100,0.000228358200
python,selectionsort,1,1000,0.026960174900
python,selectionsort,1,10000,2.791908898200
python,selectionsort,1,100000,293.230544628000
python,selectionsort,2,10,0.000008947200
python,selectionsort,2,100,0.000270495300
python,selectionsort,2,1000,0.030655596000
python,selectionsort,2,10000,3.085899289100
python,selectionsort,2,100000,303.045437534300
c,mergesort,1,10,0.000004100000
c,mergesort,1,100,0.000007400000
c,mergesort,1,1000,0.000040600000
c,mergesort,1,10000,0.000393600000
c,mergesort,1,100000,0.003874200000
c,mergesort,2,10,0.000004300000
c,mergesort,2,100,0.000008500000
c,mergesort,2,1000,0.000039300000
c,mergesort,2,10000,0.000396400000
c,mergesort,2,100000,0.003932100000
c,selectionsort,1,10,0.000001600000
c,selectionsort,1,100,0.000009800000
c,selectionsort,1,1000,0.001079500000
c,selectionsort,1,10000,0.105829900000
c,selectionsort,1,100000,10.555374400000
c,selectionsort,2,10,0.000001600000
c,selectionsort,2,100,0.000010000000
c,selectionsort,2,1000,0.001058200000
c,selectionsort,2,10000,0.105439300000
c,selectionsort,2,100000,10.551873200000
